,detail,headline,link
0," From PM Modi to Saina Nehwal, people have extended their congratulatory
messages to their favorite shutter.","Saina Nehwal, PM Modi congratulate PV Sindhu on historic World Championships gold",/sports/badminton/story/pv-sindhu-twitter-sindhu-beat-okuhara-world-championships-gold-medal-pm-on-sindhu-1591458-2019-08-25
1,"BWF World Championships 2019: PV Sindhu became the first Indian to win a
world championships gold when she outclassed former champion Nozomi Okuhara
in a one-sided final in Basel on Sunday.",PV Sindhu dedicates World Championships gold to mother on her birthday ,/sports/badminton/story/pv-sindhu-mother-birthday-dedicates-world-championships-2019-gold-medal-nozomi-okuhara-1591455-2019-08-25
2,"BWF World Championships 2019: World No. 5 PV Sindhu crushed higher-ranked
Nozomi Okuhara in straight games in the women’s singles final to win the
elusive gold in her third successive final. Sindhu became the first Indian
to finish on the top step of the podium in the prestigious world meet.","BWF World Championships 2019: PV Sindhu wins historic gold, crushes Okuhara in final",/sports/badminton/story/pv-sindhu-gold-medal-bwf-world-championships-2019-1st-indian-crushes-nozomi-okuhara-basel-straight-games-1591446-2019-08-25
3,"Hrithik Roshan talks about his last film Super 30 and how he has learned from
his past failures.",Hrithik Roshan: My failures have made me who I am today ,/movies/bollywood/story/hrithik-roshan-my-failures-have-made-me-who-i-am-today-1591441-2019-08-25
4,"Twinkle Khanna took to Instagram to share a goofy video of daughter Nitara
Kumar recreating a scene from a horror film.",Twinkle Khanna recreates scenes from horror films with daughter Nitara. Watch video,/movies/celebrities/story/twinkle-khanna-recreates-scenes-from-horror-films-with-daughter-nitara-watch-video-1591428-2019-08-25
5,"One soldier was dead in an encounter with Naxals in Abujmarh area of
Chhattisgarh on Sunday.",Chhattisgarh: 1 jawan dead in encounter with Naxals,/india/story/chhattisgarh-1-jawan-dead-after-encounter-with-naxals-in-narayanpur-1591425-2019-08-25
6,"India is likely to discuss with Russia on the supply of critical components
for its human space capsule that would carry Indian cosmonauts to space.",Russia to supply critical components to India's Gaganyaan,/science/story/russia-to-supply-critical-components-to-india-s-gaganyaan-1591423-2019-08-25
7,"Labour leader Jeremy Corbyn is holding a meeting with leaders of other
political parties on Tuesday to discuss ways of trying to prevent Prime
Minister Boris Johnson taking Britain out of the European Union without a
deal at the end of October.",UK's Labour says it is offering other parties fail safe way to stop no-deal Brexit,/world/story/uk-labour-says-offering-other-parties-fail-safe-way-stop-no-deal-brexit-1591422-2019-08-25
8,"Gandhi, in his letter to Vijayan, flagged that many flood-affected families
in his constituency lost essential documents such as ration cards, Aadhaar
cards, school or college certificates.","Rahul Gandhi writes to Kerala CM, seeks system for re-issuance of lost documents to Kerala flood victims",/india/story/rahul-gandhi-writes-to-kerala-cm-seeks-system-for-re-issuance-of-lost-documents-to-kerala-flood-victims-1591418-2019-08-25
9,"During his two-visit, Prime Minister Narendra Modi on Sunday launched $ 4.2
million redevelopment project of a Hindu temple in Bahrain.",Bahrain: PM Modi launches $ 4.2 million redevelopment project of Hindu temple,/world/story/pm-modi-launches-usd-4-2-million-redevelopment-project-of-hindu-temple-in-bahrain-1591417-2019-08-25
10,"The former finance minister passed away at the age of 66 at the All India
Institutes of Medical Sciences (AIIMS), New Delhi on Saturday after battling
a prolonged illness.",Arun Jaitley could have been in Modi 2.0 cabinet but never gave false hope: Tamil Nadu BJP president,/india/story/arunjaitley-could-have-been-modi2-0cabinet-never-gave-false-hope-1591416-2019-08-25
11,"Addressing the Indian community at the packed Bahrain National Stadium in
Manama, Narendra Modi said his visit was as the head of the government, as
the Prime Minister of the country, but its main purpose was to meet the
Indians diaspora and communicate with them.",PM Narendra Modi lauds Indian community in Bahrain,/india/story/pm-narendra-modi-lauds-indian-community-bahrain-1591406-2019-08-25
12,"In a statement issued on Friday, the hardline separatist leader, who
advocates Kashmir's merger with Pakistan, said people should organise
peaceful protests and demonstrations in their areas of residence.","Syed Ali Geelani accuses Centre of forcing demographic change, asks J&K people to resist",/india/story/syed-ali-geelani-accuses-centre-of-forcing-demographic-change-asks-j-k-people-to-resist-1591410-2019-08-25
13,"In the letter, she urged Rajouria to reveal the names of officials to whom
the money was being sent and added that in one instance she had herself
caught a car transporting adulterated spices.",MP: Cong functionary writes to CM Kamal Nath alleging rampant corruption in food dept,/india/story/mp-cong-functionary-writes-to-cm-kamal-nath-alleging-rampant-corruption-in-food-dept-1591408-2019-08-25
14,"As the who's who of the nation paid obeisance to the late leader Arun
Jaitley, they remembered how the former Finance Minister touched their lives,
changing them forever through his sensitive and personal approach.","Cleared files on daughter's wedding, always smiled: Friends, colleagues remember Arun Jaitley",/india/story/friends-colleagues-remember-arun-jaitley-1591409-2019-08-25
15,"Speaking to reporters with Johnson ahead of a trade-focused bilateral
meeting, Trump said Britain's membership of the EU had been a drag on efforts
to forge closer trade ties.","G7 summit: Trump offers Brexit Britain biggest deal ever, praises Boris Johnson",/world/story/g7-summit-trump-offers-brexit-britain-biggest-deal-ever-praises-boris-johnson-1591407-2019-08-25
16,"While the Valley remains under lockdown, Jammu and Kashmir Governor Satya Pal
Malik on Sunday said there has not been a single case of killing in the last
10 days.","J&K Governor defends communication blackout, says no killing in last 10 days",/india/story/j-k-governor-satya-pal-malik-defends-communication-blackout-says-no-killing-in-last-10-days-1591403-2019-08-25
17,"Over 100 passengers were on board the GoAir flight including Rahul Gandhi,
Ghulam Nabi Azad, Rashtriya Janata Dal leader Manoj Jha, CPI(M) General
Secretary Sitaram Yechury and several other senior leaders.","Aircraft carrying Rahul Gandhi, delegation faced trouble landing in Delhi",/india/story/aircraft-carrying-rahulgandhi-faced-trouble-landing-delhi-1591401-2019-08-25
18,"In his monthly 'Mann Ki Baat' programme Lord Krishna's life is as relevant as
ever in providing solutions to problems as well as inspiration today.",Everyone can find solutions to present day problems from Lord Krishna's life: PM Narendra Modi,/india/story/mann-ki-baat-narendramodi-everyone-can-find-solutions-present-day-problems-lord-krishna-life-1591380-2019-08-25
19,"PM Modi said under the 'Poshan Abhiyaan' campaign, we through various
scientific approaches will fight malnutrition and make the initiative a mass
movement.",Observe September as Poshan Abhiyan to combat malnutrition: PM Narendra Modi,/india/story/observe-september-as-poshan-abhiyan-to-combat-malnutrition-pm-narendra-modi-1591394-2019-08-25
20,"As world leaders gathered together in French coastal town of Biarritz for the
G7 summit, Prime Minister Narendra Modi on Sunday left for France to be a
part of the annual gathering.","G7 summit: PM Modi emplanes for France, to speak on global issues",/world/story/g7-summit-pm-modi-emplanes-for-france-to-speak-on-global-issues-1591396-2019-08-25
21,"Ashes 2019: David Warner was spotted making runs to Josh Hazlewood almost
every time the Aussie pacer was to bowl and taking his cap from him to pass
it on to the umpire.",Watch: David Warner's kind gesture towards Josh Hazlewood is winning hearts,/sports/cricket/story/ashes-2019-england-vs-australia-david-warner-kind-gesture-josh-hazlewood-1591393-2019-08-25
22,"Raut added that Jaitley had played a key role in bringing the Shiv Sena and
BJP back together after a fallout between the two in 2015.",NDA has lost big brother with Jaitley's demise: Sanjay Raut,/india/story/nda-has-lost-big-brother-with-jaitley-s-demise-sanjay-raut-1591390-2019-08-25
23,"The King bestowed Bahrain Order - First Class on Prime Minister Narendra Modi
in recognition of his efforts to strengthen bilateral relations with the
Kingdom of Bahrain.",Bahrain confers The King Hamad Order of the Renaissance to PM Narendra Modi,/india/story/bahrain-confers-the-king-hamad-order-of-the-renaissance-to-narendramodi-1591389-2019-08-25
24,"Union ministers and top BJP leaders arrived in large numbers at the BJP
headquarters on Sunday to pay their last respects to Arun Jaitley.","Amit Shah, Nitin Gadkari, BJP leaders pay last respects to Arun Jaitley at BJP headquarters",/india/story/amit-shah-nitin-gadkari-bjp-leaders-pay-last-respects-to-arun-jaitley-at-bjp-headquarters-1591386-2019-08-25
25,"According to the deceased's brother, Khan was walking towards his home when
three bike-borne men opened fire.",TMC leader shot dead by bike-borne assailants in Bengal,/crime/story/tmc-leader-shot-dead-by-bike-borne-assailants-in-bengal-1591381-2019-08-25
26,"Raut said if Rahul Gandhi wants to visit Jammu and Kashmir for touring and
enjoyment then we will request the tourism department to make all the
arrangements for those activities.","If Rahul wants to tour J&K, will make arrangements: Shiv Sena MP",/india/story/if-rahul-wants-to-visit-j-k-for-touring-will-make-arrangements-shiv-sena-mp-sanjay-raut-1591378-2019-08-25
27,"According to an official data, 8,189 Indians are lodged in various prisons in
foreign countries, with Saudi Arabia having the highest number at 1,811
followed by the UAE at 1,392.","Bahrain pardons 250 Indian prisoners, PM Modi expresses gratitude",/world/story/bahrain-pardons-250-indian-prisoners-1591377-2019-08-25
28,"As per the CCTV footage of the incident, the woman intended to alight a
moving train at the Currey Road railway station.",Mumbai: RPF jawan saves woman from getting crushed by local train,/india/story/mumbai-rpf-jawan-saves-woman-from-getting-crushed-by-local-train-1591375-2019-08-25
29,"Former Australia player Ricky Ponting is optimistic about Australia's win in
the third Ashes Test as he believes that the new ball will have a great
impact on the game when the match will start on day four.",Ashes 2019: Ricky Ponting optimistic about Australia's win in third Ashes Test,/sports/cricket/story/ashes-2019-ricky-ponting-third-ashes-test-eng-vs-aus-australia-denly-root-1591373-2019-08-25
30,"The G7 gathering is taking place against a backdrop of growing worries about
a global economic downturn and coincides with an era of international
disunity across an array of issues that have strained decades-old
allegiances.",Trade and economy in focus as G7 leaders get down to work,/world/story/g7-summit-trade-economy-focus-1591359-2019-08-25
31,"The 56-year-old officer completed the circuit on August 23 by cycling
non-stop for 90 hours.",Indian Army officer completes France's oldest cycling event,/india/story/indian-army-officer-completes-france-s-oldest-cycling-event-1591369-2019-08-25
32,"A video of a Kashmiri woman went viral after it was shared on Twitter by a
Congress spokesperson, in which the woman is seen narrating how the lives of
people had been affected after abrogation of Article 370 and lockdown in the
Valley.",How long will this continue: Priyanka Gandhi after Kashmiri woman’s video in Srinagar flight goes viral,/india/story/how-long-will-this-continue-priyanka-gandhi-after-kashmiri-woman-video-srinagar-flight-viral-1591367-2019-08-25
33,"Several media reports had claimed that the valley was suffering a severe
shortage of drugs due to the clampdown followed by Centre's announcement of
the constitutional change that snatched J&K's special status that it enjoyed
under Article 370.","J&K authorities rubbish reports of drug shortage in Kashmir, claims valley has ample stock",/india/story/jk-drug-shortage-authorities-rubbish-reports-1591342-2019-08-25
34,"He also called for efforts to ensure proper collection and storage of plastic
to save the environment.",Mann Ki Baat: PM Modi calls for mass movement against single-use plastic from Oct 2,/india/story/mann-ki-baat-pm-modi-calls-for-mass-movement-against-single-use-plastic-from-oct-2-1591365-2019-08-25
35,"Napoli struggled to get going, yet leveled with their first real attack in
the 38th minute when Dries Mertens scored with a dipping shot from outside
the area which goalkeeper Bartolomej Dragowski got his hands to but failed to
stop.",Napoli win seven-goal thriller at Fiorentina amid VAR controversy,/sports/football/story/napoli-win-seven-goal-thriller-at-fiorentina-amid-var-controversy-1591363-2019-08-25
36,"Napoli struggled to get going, yet leveled with their first real attack in
the 38th minute when Dries Mertens scored with a dipping shot from outside
the area which goalkeeper Bartolomej Dragowski got his hands to but failed to
stop.",Napoli win seven-goal thriller at Fiorentina amid VAR controversy,/sports/football/story/napoli-win-seven-goal-thriller-at-fiorentina-amid-var-controversy-1591363-2019-08-25
37,"Former India batting maestro Sachin Tendulkar said, Test cricket can be
pleasing to the eye if it is played on good pitches.",Good pitches key to Test cricket's revival: Sachin Tendulkar,/sports/cricket/story/sachin-tendulkar-good-pitches-steve-smith-jofra-archer-lords-ashes-ashes-2019-1591362-2019-08-25
38,"Bihar MLA Anant Singh, who was on the run since an AK-47 rifle and grenade
was recovered from his ancestral home on August 16, had appeared before Saket
Court and surrendered.",Barh court sends MLA Anant Singh on judicial remand for 6 days,/india/story/barh-court-sends-anant-singh-on-judicial-remand-for-14-days-1591360-2019-08-25
39,"The Jammu and Kashmir state flag has been taken off the civil secretariat
building in Srinagar. It is only the national flag that is flying above the
building.","J&K state flag removed from civil secretariat, only tricolour seen after Article 370 move",/india/story/jammu-and-kashmir-state-flag-removed-from-civil-secretariat-1591358-2019-08-25
40,"An ola cab driver in Bengaluru was arrested by police for killing a
32-year-old model.","Ola driver kills model, texts husband from her phone",/crime/story/bengaluru-ola-driver-kills-model-texts-husband-from-her-phone-demanding-rs-5-lakh-1591353-2019-08-25
41,"The Uttarakhand High Court has set September 20 as the next date for the
hearing in the matter against Harish Rawat.",CBI files probe report in case against Harish Rawat in 2016 horse-trading case,/india/story/cbi-files-probe-report-in-case-against-harish-rawat-in-2016-horse-trading-case-1591352-2019-08-25
42,"Neha Dhupia took to Instagram to share pictures from her Maldives vacation
with husband Angad Bedi.",Neha Dhupia slays in bikini on Maldives vacay with husband Angad Bedi. See pics,/movies/celebrities/story/neha-dhupia-slays-in-bikini-on-maldives-vacay-with-husband-angad-bedi-see-pics-1591351-2019-08-25
43,"Arun Jaitley passed away on Saturday and his funeral will be held on Sunday.
Former Andhra Pradesh CM Chandrababu Naidu visited the Jaitley residence to
pay his last respects.","Chandrababu Naidu mourns Arun Jaitley, says it's a personal loss",/india/story/chandrababu-naidu-mourns-arun-jaitley-says-it-s-a-personal-loss-1591349-2019-08-25
44,"As of 2019, India has 30 squadrons of fighter jets in comparison to Pakistan
which has 25 squadrons","Imports, indigenous production of fighters will boost IAF strength: Air Force veterans",/india/story/imports-indigenous-production-of-fighters-will-boost-iaf-strength-air-force-veterans-1591341-2019-08-25
45,"MS Dhoni is currently on a two-month break from cricket and the veteran, who
holds an honorary position of Lieutenant Colonel in the Indian Army.",Watch: MS Dhoni spotted at Jaipur Airport in a brand new look,/sports/cricket/story/watch-ms-dhoni-spotted-at-jaipur-airport-in-a-brand-new-look-1591345-2019-08-25
46,"At the rally, Kashmiri Pandits told personal stories of their hapless exodus
and yearning to go back to their homeland which they left in 1990 due to
militancy.",Kashmiri Pandit community holds rally in US to support revocation of Article 370,/india/story/kashmiri-pandit-community-hold-rally-in-us-to-support-revocation-of-article-370-1591336-2019-08-25
47,"Prime Minister Modi has finally revealed how he communicated with Bear Grylls
in Hindi during the Man vs Wild episode.",PM Modi clears air on talking to Bear Grylls in Hindi during Man vs Wild episode,/india/story/pm-modi-man-vs-wild-episode-speaking-to-bear-grylls-in-hindi-1591339-2019-08-25
48,"After from the UAE and Bahrain, several other Islamic nations also honoured
PM Modi with their high civilian award.",Islamic nations that honoured PM Modi with highest civilian award,/india/story/islamic-nations-that-honoured-pm-modi-with-highest-civilian-award-1591334-2019-08-25
49,"The students have been suspended for three months for ragging the junior
students and making them tonsure their heads.","7 MBBS students suspended for ragging juniors, making them go bald",/india/story/7-mbbs-students-suspended-for-ragging-juniors-making-them-go-bald-1591331-2019-08-25
50,"Marcus Rashford is the 2nd United player in a week to suffer such abuse
following incidents involving Paul Pogba after a penalty miss.",Marcus Rashford suffers racial abuse on Twitter after missing penalty,/sports/football/story/manchester-united-marcus-rashford-racial-abuse-crystal-palace-twitter-1591333-2019-08-25
51,"Bollywood actresses like Priyanka Chopra and Deepika Padukone have failed to
make it to the Forbes Highest Paid Actresses 2019 list. Scarlett Johansson,
on the other hand, scored top position again.","Deepika Padukone, Priyanka Chopra out of Forbes Highest Paid Actresses list. Scarlett Johansson tops again",/movies/bollywood/story/deepika-padukone-priyanka-chopra-out-of-forbes-highest-paid-actresses-list-scarlett-johansson-tops-again-1591332-2019-08-25
52,"Four people in Muzaffarnagar district of Uttar Pradesh were sentenced to
life imprisonment by a local court for killing a man.",Uttar Pradesh: 4 sentenced to life imprisonment for killing man in 2015,/crime/story/uttar-pradesh-4-sentenced-to-life-imprisonment-for-killing-man-in-2015-1591328-2019-08-25
53,"The man, who hails from Gandrabal district of Jammu and Kashmir and
identified as Shoukath Ahmad lone, allegedly claimed himself to be Basith
Shah, director of WHO.",Karnataka: Kashmiri man arrested for posing as WHO director in Mangaluru,/crime/story/mangaluru-kashmiri-man-arrested-posing-who-director-1591327-2019-08-25
54,"In order to pay tribute to the veteran leader, the mortal remains of Arun
Jaitley were moved from his house to party headquarters in Delhi.",Jaitley's mortal remains moved to BJP headquarters,/india/story/arun-jaitley-s-mortal-remains-moved-to-bjp-headquarters-1591324-2019-08-25
55,"Bidding to win her first gold at the BWF Badminton Championships, PV Sindhu
will take on Nozomi Okuhara in the finals on Sunday.","BWF World Championships Final, Live Streaming: PV Sindhu vs Nozomi Okuhara, When and Where to Watch",/sports/badminton/story/bwf-world-championships-final-live-streaming-pv-sindhu-vs-nozomi-okuhara-when-and-where-to-watch-1591321-2019-08-25
56,"Brazil Defense Minister Fernando Azevedo said around 44,000 troops will be
available for ""unprecedented"" operations to put out the fires.",Amazon forest fire: Brazilian troops begin to deploy for firefighting ,/world/story/amazon-forest-fire-brazilian-troops-begin-deploying-1591320-2019-08-25
57,"Bhim Army founder Chandra Shekhar and National President Vinay Ratan were
arrested on August 21 in Delhi while protesting against the demolition of the
Sant Ravidas temple.",Bhim Army warns of movement if its top leaders are not freed,/india/story/bhim-army-warns-movement-if-top-leaders-not-freed-1591311-2019-08-25
58,"A woman in Bihar's Jehanabad jumped in front of a train along with her three
children. One of the kids however survived the suicide bid.","Bihar woman jumps in front of train with 3 children, 1 survives suicide bid",/india/story/bihar-woman-jumps-in-front-of-train-with-3-children-1-survives-suicide-bid-1591317-2019-08-25
59,"Air India MD said there is a lack of appreciation of working of airlines and
also the ground realities faced by Air India.",Fuel supply cut at 6 airports due to lack of funds: Air India,/business/story/fuel-supply-cut-at-6-airports-due-to-lack-of-funds-not-performance-air-india-1591315-2019-08-25
60,"Air India MD said there is a lack of appreciation of working of airlines and
also the ground realities faced by Air India.",Fuel supply cut at 6 airports due to lack of funds: Air India,/business/story/fuel-supply-cut-at-6-airports-due-to-lack-of-funds-not-performance-air-india-1591315-2019-08-25
61,"The floods have caused damages to standing crops, along with several roads
and government buildings.","Bihar govt urges centre to provide Rs 2,700 cr as compensation for Patna flood damages",/india/story/bihar-govt-urges-centre-to-provide-rs-2-700-cr-as-compensation-for-patna-flood-damages-1591313-2019-08-25
62,"Israel frequently conducts airstrikes and missile attacks inside war-torn
Syria but rarely confirms them.",Syria says its air defences responded to attack over capital Damascus,/world/story/syria-says-its-air-defences-responded-to-attack-over-capital-damascus-1591310-2019-08-25
63,"The air quality in Delhi on Saturday improved to ""good condition"" as the
capital witnessed heavy rainfall. The remaining days of August are likely to
remain cool in the city as the weather department has predicted more rainfall
for the next few days.","Delhi rains: Air quality improves to good condition in capital, more showers ahead",/india/story/delhi-rains-air-quality-improves-good-condition-capital-more-rainfall-ahead-1591309-2019-08-25
64,"A 17-year-old died and two children were injured in another landslide in the
northern Philippines on Saturday, authorities reported.","Powerful tropical storm sweeps across southern Taiwan, 2 dead",/world/story/powerful-tropical-storm-sweeps-across-southern-taiwan-2-dead-1591308-2019-08-25
65,"The St Louis shooting happened about 8 pm on Friday outside Harold's Chop
Suey restaurant in the city's Academy neighbourhood.","US: 8-year-old killed, three injured in St Louis shooting near high school",/world/story/us-stlouis-shooting-8yearold-killed-three-injured-1591306-2019-08-25
66,"Novac Djokovic has won four of the last five Grand Slams and is two shy of
Rafa Nadal on the all-time list and four away from matching Federer's record
tally of 20.",Novak Djokovic unfazed by foot blisters ahead of US Open,/sports/tennis/story/novak-djokovic-unfazed-by-foot-blisters-ahead-of-us-open-1591305-2019-08-25
67,"Mortal remains of Jaitley was brought to his residence in South Delhi on
Saturday from All India Institute of Medical Sciences (AIIMS), where he
breathed his last.",Arun Jaitley to be cremated at Nigambodh Ghat today,/india/story/arun-jaitley-to-be-cremated-at-nigambodh-ghat-today-1591300-2019-08-25
68,"The regional administration says those detained are accused of throwing
projectiles, concealing their faces or possessing objects that could be used
as weapons.",68 arrests reported at protest near G-7 summit,/world/story/68-arrests-reported-at-protest-near-g-7-summit-1591297-2019-08-25
69,"West Indies went from being 88 for 3 to 179 for 8 on Day 2 after bowling out
India for 297 in the first innings of the ongoing Test match.","IND vs WI: We have not been able to step up as top-order, says Jason Holder ",/sports/cricket/story/india-vs-west-indies-1st-test-wi-skipper-jason-holder-disappointed-day-3-1591298-2019-08-25
70,"Astronaut Anne McClain is accused of identity theft and improperly accessing
her estranged wife's private financial records while on a sixth-month mission
aboard the International Space Station (ISS).","Nasa astronaut committed crime in space, claims divorcing spouse: Report",/science/story/nasa-astronaut-committed-crime-space-claims-divorcing-spouse-nytreport-1591295-2019-08-25
71,"Newly-wedded couple in Texas, US, was reportedly killed in a car accident
just after getting hitched.","Married only minutes, Texas newlyweds killed in crash",/world/story/married-only-minutes-texas-newlyweds-killed-in-crash-1591290-2019-08-25
72,"Arif Alvi said India, through the recent constitutional changes, encouraged
terrorism for which Pakistan is not responsible. ","India is playing with fire in Kashmir, says Pakistan President Arif Alvi",/india/story/india-playing-with-fire-kashmir-pakistan-president-arifalvi-1591283-2019-08-25
73,"KL Rahul played a horror shot to gift his wicket away to Roston Chase after
scoring 38 runs off 80 balls on day 3.","'Disappointed', says KL Rahul after scoring 38 against Windies",/sports/cricket/story/india-vs-west-indies-1st-test-kl-rahul-disappointed-day-3-1591281-2019-08-25
74,"The comments made by China's Ministry of Commerce came after the US President
Donald Trump announced on Friday that Washington will impose an additional 5
per cent duty the Chinese goods.",China warns US to stop wrong trade actions or face consequences,/world/story/china-warns-us-to-stop-wrong-trade-actions-or-face-consequences-1591287-2019-08-25
75,"Joe Root dug in, putting on a vital 126 for the third wicket with Joe Denly
(50), and the skipper was unbeaten alongside Ben Stokes (two not out) at the
close with England needing 203 more runs for victory.","Ashes 2019: Joe Root puts belief in this England side, says Joe Denly",/sports/cricket/story/ashes-2019-3rd-test-england-vs-australia-joe-root-joe-denly-1591288-2019-08-25
76,"Union Minister and BJP leader Piyush Goyal on Saturday expressed sorrow over
the demise of former Finance Minister Arun Jaitley, who passed away at the
age of 66 in New Delhi on Saturday.",Arun Jaitley's demise has caused irreparable loss: Piyush Goyal,/india/story/arun-jaitley-demise-caused-irreparable-loss-country-piyush-goyal-1591284-2019-08-25
77,"The video of the incident was shared on Twitter by Congress spokesperson
Radhika Khera in which a Kashmiri woman is seen narrating how the lives of
people had been affected after abrogation of Article 370.",Kashmiri woman narrates her ordeal to Rahul Gandhi on flight,/india/story/kashmiri-woman-narrates-her-ordeal-to-rahul-gandhi-on-flight-1591280-2019-08-25
78,"Anand Sharma was part of the delegation of Opposition leaders who went to
Srinagar to see the ground reality after the repeal of special status to J&K
but were not allowed to go outside the airport and were subsequently sent
back to the Delhi.","First invite, then detain, says Congress's Anand Sharma who was sent back to Delhi from Srinagar airport",/india/story/congress-anand-sharma-sent-back-delhi-from-srinagar-airport-takes-dig-jk-administration-1591278-2019-08-25
79,"Premier League 2019-20: While Liverpool laid down an early-season marker by
thrashing Arsenal 3-1, Fran Lampard's Chelsea defeated Norwich City in a
close contest to register their first league win. ","Premier League: Liverpool beat Arsenal 3-1, Lampard's Chelsea enjoy 1st win",/sports/football/story/premier-league-round-up-liverpool-arsenal-3-1-frank-lampard-chelsea-win-manchester-united-lose-1591264-2019-08-25
80,"England vs Australia, 3rd Test Day 3: Chasing a mammoth total of 359, England
were jolted early when they lost Rory Burns and Jason Roy in quick succession
but a valiant 126-run stand between Joe Root and Joe Denly has helped the
hosts keep their hopes alive in Leeds. ",Ashes 3rd Test: Joe Root 75 not out gives England hope in 359 chase,/sports/cricket/story/england-va-australia-ashes-2019-3rd-test-day-3-report-joe-root-ben-stokes-1591262-2019-08-25
81,"Neymar, who has fully recovered from an injury he suffered in June, has not
played for Paris-Saint Germain this season amid rumours of link-up with
Barcelona. ",Neymar can't play for PSG until his future is clear: Thomas Tuchel,/sports/football/story/neymar-cannot-play-future-uncertain-psg-thomas-tuchel-trasnfer-news-1591254-2019-08-24
82,"Jordan Ayew and Van Aanholt scored for Crystal Palace as they stunned Ole
Gunnar Solskjaer's Manchester United at Old Trafford in their Premier League
meeting on Saturday. ",Crystal Palace hand Manchester United their 1st defeat of Premier League season,/sports/football/story/premier-league-manchester-united-stunned-crystal-palace-old-trafford-pogba-howler-van-aanhot-1591246-2019-08-24
83,"World No. 19 Sai Praneeth became only the 2nd Indian men's singles shuttler
after Prakash Padukone in 1983 to win a medal at the World Championships.",Sai Praneeth elated with World Championships bronze: One of my best tournaments ever,/sports/badminton/story/bwf-world-championships-2019-sai-praneeth-bronze-best-tournament-ever-kento-momota-1591233-2019-08-24
84,"Sumit Nagal, 22, became only the 5th Indian men's singles player to feature
in the main draw of a Grand Slam tournament when he won the final qualifying
round of US Open on Friday in New York.","Roger Federer god of tennis, super happy to play him: Sumit Nagal on US Open 1st round tie",/sports/tennis/story/us-open-2019-sumit-nagal-roger-federer-god-of-tennis-dream-come-true-1st-round-meeting-1591227-2019-08-24
85,"New Zealand tour of Sri Lanka, 2nd Test: After another batting failure from
captain Kane Williamson, wicketkeeper-batsman Tom Latham has put New Zealand
on course to take lead in Colombo.","SL vs NZ, 2nd Test: Tom Latham leads New Zealand's strong reply on Day 3",/sports/cricket/story/tom-latham-111-new-zealand-take-control-sri-lanka-2nd-test-day-3-report-colombo-1591225-2019-08-24
